data_analysis_grade	data_analysis_feedback
95	good dataset identification; good dataset contextual overview; good numeric formatting of findings; good use of aggregate clauses and functions - although be careful about counting "star"; insightful analysis; inventive use of a subquery; good repeatable sql; good correspondance between sql and findings; where did you find those region names and division names?; could benefit from conversion of bullet points into sentances;
95	good dataset identification, but where can i find this online?; good dataset contextual overview; good executive summary of findings; good demonstration of sql clauses and functions; avoid counting an attribute used in the group by clause in favor of counting distinct identifiers; nice use of case statement;
90	good dataset identification; good dataset contextual overview; good executive summary of factual findings; good use of aggregate sql clauses and functions, but please count unique row identifiers instead of an attribute that's being included in a group by clause;
90	good dataset identification but where can i find it online?; good executive summary of factual findings at the beginning; good summary of processes; avoid counting the attributes that are being used in grouping in favor of counting unique identifiers when able; good use of sql; be careful about using a group by clause where selecting distinct attribute values is sufficient (the last query); good statement of assumptions - is "Acting President" also an interim position?;
90	good dataset identification, but where can i find this online?; could benefit from a concise executive summary at the beginning; strong analysis; good correspondance between sql and findings; good use of sql clauses and functions; good use of aggregate sql clauses and functions;
90	good dataset identification, but where can i find this online?; could benefit from a concise executive summary at the beginning; good analysis; good correspondance between queries and findings; good use of aggregate sql clauses and functions; you reference the `death_count` attribute - is this the same as an aliased `count` attribute?; nice ranking and partitioning;
87	good dataset identification; good sql usage and documentation; could use a single executive summary; would benefit from formatting numbers as currency in your summary of findings;
87	cool dataset, but how do i find it?; good factual summary; good organization; good citing of outside sources; could shift some of the focus away from demonstrating the value of sql; avoid counting attributes used in the group by clause in favor of counting distinct identifiers;
87	good dataset identification; good dataset contextual overview; good executive summary of findings; avoid counting attributes used in grouping in favor of counting distinct identifiers;
85	good dataset identification, but where exactly can i find this online?; could benefit from an executive summary of findings at the beginning; good use of aggregate sql clauses and functions - FYI you can reference aliases in the group by clause; what is the purpose of including an attirbute in both the where clause and group by clause?
80	good dataset identification and contextual overview; could benefit from a factual summary of findings at the beginning; counting agencies instead of distinct agencies led you to present factually incorrect information; FYI you can use attribute aliases in the order by clause and the having clause;
75	good executive summary; insightful analysis; be careful with use of terms like "database" and "entity"; what is the purpose of using a logical operator inside a count function?
70	good dataset identification, but where can i find this online?; could benefit from an executive summary of factual findings at the beginning; what is the purpose of including the same field in an where clause as in a group by clause?; if a query doesn't work, are you able to re-write it to serve the indended purpose?
66	cool dataset, but where do i find it?; good factual summary; good demonstration of how sql produces the results; could benefit from aggregate clauses and functions;
66	very cool dataset, but where do i find it?; good factual summary of findings; good in-line reference to queries; good use of sql clauses and functions; could benefit from aggregate sql clauses and functions;
66	good dataset context; good analytical insights; could benefit from the use of aggregate sql clauses and functions; if you wanted to find the parks that matched both those conditions, try adding both conditions to the where clause instead of just one and visually scanning for the other; could benefit from an executive factual summary at the beginning; would benefit from additional focus on outcomes over the workings and benefits of sql;
66	cool dataset; good dataset identification and contextual description; could benefit from a factual summary of findings at the beginning; good analysis; be careful about making unsubstantiated claims that would need some other dataset to prove - like where are all those non-dataset-specific numbers coming from?; could benefit from aggregate sql clauses and functions;
66	cool dataset, and good dataset contextual description, but where do i find it?; good factual summary; good demonstration of queries, including aggregate clauses and functions; could benefit from number formatting in terms of "X thousands of people" instead of the plain number;
66	awesome dataset; good dataset identification in terms of attaching the .csv file; good dataset context description; could benefit from a factual executive summary at the beginning; what is the purpose of selecting star (*) when using a group by clause?; avoid counting attributes used in the group by clause in favor of counting distinct identifiers;
66	good dataset identification and context; good factual summary of findings; good analysis; lets follow up about data conversion and column re-naming - you can do it!; could benefit from the use of aggregate sql clauses and functions
66	awesome dataset; good dataset context description; could benefit from a factual executive summary at the beginning; good correspondance between sql and analytical findings; perfectly repeatable and logical; be careful about your attribute selections when using a group by clause - grouped attributes should be selected and other attributes should be aggregated or excluded;
66	good executive summary; good organizationl good analytical context; good sql; could benefit from aggregate sql functions and clauses; not sure about the use of where clause in conjunction with limit clause for the purpose you mention; are you referencing <> when you mean LIKE?
66	cool big dataset; good dataset identification in terms of attaching a .csv file; good dataset description; be careful about making unsubstantiated claims - what is the average crime rate for an american city?; good correspondance between sql and analytical findings; good repeatable sql; could benefit from aggregate sql clauses and functions
66	cool dataset; good dataset identification in terms of a link; good analysis; could benefit from a succint factual executive summary at the beginning, like "there are 400 meters that are located in these neighborhoods"; nice in-line references to queries; could benefit from larger query text or zoomed-in screenshot; could benefit from the use of aggregate sql clauses and functions
66	good dataset identification; good use of aggregate sql clauses and functions; good analysis; could benefit from an executive summary at the beginning;
66	good dataset identification; could benefit from non-technical executive summary of findings at the beginning;Â could benefit from use of aggregate sql clauses and functions;
66	good dataset identification but where can i find it?; good mention of factual findings at the beginning; insightful analysis; good statement of assumptions; good use of sql; could benefit from the use of aggregate sql clauses and functions
66	where can i find this dataset online?; good executive summary of findings; could benefit from aggregate sql clauses and functions
66	could benefit from dataset identification; could benefit from executive summary of findings at the beginning; be careful about which attributes you select when using a group by clause; what is the purpose of selecting star(*) when using a group by clause?
66	good dataset identification and contextual overview; good organization in terms of including summry of findings near the beginning; avoid personal language in summry of findings; analysis could benefit from a general shift in focus from methodologies and datset properties to the information contained in the dataset; what is the benefit of using `EDIT_DATE` in a where clause?; what is the purpose of selecting distinct star (*)?;  could benefit from the use of aggregate sql clauses and functions;
66	good dataset identification, but where can i find this online?; good analysis; could benefit from the use of aggregate sql clauses and functions;
20	good description of analytical processes; could benefit from a succinct executive summary in the beginning; be careful of making generalized, ubsubstantiated claims; tone demonstrates a fundamental misunderstanding of assignment expectations; needs sql queries;
0	not yet submitted
0	not yet submitted
0
0	submitted wrong assignment
