student_id,student_full_name,student_net_id,submission_id,c1,c2,c3,c_product,pd_1_songs,pd_2_plays,pd_3_thumbs,pd_4_skips,pd_5_listeners,pd_6_accounts,pd_sum,pd_max,da_1a,da_1b,da_2a,da_2b,da_3a,da_3b,da_4a,da_4b,da_5a,da_5b,da_5c,da_6a,da_6b,da_6c,da_7a,da_7b,da_7c,da_sum,da_max,raw_first_two_section_score,raw_three_section_score,sql_feedback
27,#REDACTED,#REDACTED,31,1,1,1,40.00%,1.1,1,1.3,1,1,1.1,32.70%,30.00%,1,1,1,1,0.6,0.5,0.6,0.8,0.6,0.8,0.7,0.5,0.8,0.7,0.5,0.5,0.7,0.3405,0.3,100.00%,100.00%,practice join syntax;
12,#REDACTED,#REDACTED,7,1,1,1,40.00%,1,1.1,1,1,0.8,1,29.70%,29.70%,1,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.6,0.5,0.4,1,0.4,0.3,0.6,0.7,0.4,0.297,0.297,99.57%,99.40%,practice selections; practice join syntax - use the ON keyword to introduce the join condition
29,#REDACTED,#REDACTED,11,0.9,1,1,38.40%,1.1,1,1,1,1,1.1,30.90%,30.00%,1,0.8,0.9,0.9,0.4,0.5,0.3,0.5,1,0.6,0.6,0.8,0.6,0.7,0.3,0.2,0.7,0.303,0.3,97.71%,98.40%,practice ordering and selections
23,#REDACTED,#REDACTED,6,1,1,1,40.00%,1,1,1,1,1,0.5,27.75%,27.75%,1,1,0.7,0.7,0.7,0.6,0.9,0.9,1,1,0.8,0.9,0.5,0.6,0.7,0.7,0.4,0.3675,0.3,96.79%,97.75%,practice counting distinct - move the DISTINCT keyword into the SELECT clause; practice limiting
17,#REDACTED,#REDACTED,16,1,1,0.8,37.60%,1,0.8,1.3,1,1.1,1,31.05%,30.00%,1,0.8,0.5,0.5,0.3,0.5,0.9,0.5,1,1,1,1,0.3,0.3,0.3,0.4,0.7,0.303,0.3,96.57%,97.60%,practice grouping and ordering
6,#REDACTED,#REDACTED,32,1,1,1,40.00%,1,0.9,1,1,1,0.5,27.15%,27.15%,1,0.5,0.8,0.8,1,0.6,0.9,0.6,0.6,0.6,0,0.5,0.5,0.6,0.6,0.6,0.6,0.291,0.291,95.93%,96.25%,practice selections
20,#REDACTED,#REDACTED,3,1,1,1,40.00%,1.3,1,1.2,1,1,0.6,30.75%,30.00%,1,0.5,0.5,0.5,0.5,0.3,0.9,0.4,0.9,0.9,0.8,0.3,0.3,0.3,0.6,0.6,0.4,0.2595,0.2595,100.00%,95.95%,practice grouping and aggregating and selecting and limiting; know when to use outer joins
4,#REDACTED,#REDACTED,34,1,1,0.7,36.40%,1,0.9,1,1,1,1,29.40%,29.40%,1,1,0.3,1,1,0.6,1,0.6,0.8,0.8,0.8,0.3,0.5,0.5,0.3,0.5,0.4,0.3105,0.3,94.00%,95.80%,practice selections and grouping
7,#REDACTED,#REDACTED,29,1,1,1,40.00%,1,1,1,1,1,0.5,27.75%,27.75%,1,0.8,0.7,0.7,0.6,0.4,0.8,0.4,1,0.6,0.6,0.4,0.9,0.6,0.3,0.2,0.4,0.279,0.279,96.79%,95.65%,"study query structure and composition; learn when to use outer joins; look for a single-query answer before turning to sub-queries; if you are going to use a subquery, use the proper structure and parenthesis placement;"
24,#REDACTED,#REDACTED,25,1,1,1,40.00%,1,1,1,1,1,1,30.00%,30.00%,0.9,0.5,0.9,0.9,0.6,0.4,0.8,0.5,0.6,0.6,0.6,0.4,0.3,0.2,0.2,0.4,0.6,0.2445,0.2445,100.00%,94.45%,"use one semicolon per query, at the end, if using one at all; practice aggregations; study outer joins;"
36,#REDACTED,#REDACTED,36,1,0.5,1,34.00%,1.1,1,1.3,1,0.7,1.1,31.35%,30.00%,1,1,0.7,0.7,0.6,0.7,0.6,0,0.7,0.7,0.7,0.9,0.4,0.3,0.6,0.4,0.4,0.2835,0.2835,91.43%,92.35%,practice join syntax; know when to use HAVING instead of WHERE;
21,#REDACTED,#REDACTED,19,1,1,0.3,31.60%,1.1,1,1.3,1,1.1,1.1,33.15%,30.00%,1,0.5,0.3,0.3,1,1,1,1,1,0.9,0.6,0.7,0.5,0.3,0.3,0.7,0.5,0.339,0.3,88.00%,91.60%,practice selections
13,#REDACTED,#REDACTED,4,1,1,0.8,37.60%,0.6,0.7,1,1,1.1,1.1,27.30%,27.30%,1,0.7,0.8,0.8,0.8,0.6,0.9,0.6,1,1,0,0.5,0.5,0,0.3,0.4,0,0.264,0.264,92.71%,91.30%,practice selections
5,#REDACTED,#REDACTED,8,1,1,1,40.00%,1.1,1,1,1,1.1,1,30.90%,30.00%,0.7,0.5,0.2,0.2,0.3,0.5,1,0.5,0.8,0.6,0.6,0.3,0.3,0,0.3,0.4,0.4,0.207,0.207,100.00%,90.70%,practice filtering and ordering and aggregating
32,#REDACTED,#REDACTED,18,0.8,1,1,36.80%,1,1,1,1,1,1,30.00%,30.00%,1,0.6,1,1,0.2,0.3,0.5,0.3,0.6,0.8,0.4,0.3,0.5,0.4,0.3,0.3,0.3,0.228,0.228,95.43%,89.60%,study joins; practice selections and filtering and joins and aggregations; remove quotes from join conditions;
9,#REDACTED,#REDACTED,23,1,0.5,0.6,29.20%,1,1,1,1,1.1,1,30.45%,30.00%,1,1,0.7,0.7,1,0.5,0.8,0.5,1,1,0.6,0.9,0.5,0.5,1,0.4,0.6,0.351,0.3,84.57%,89.20%,learn when to use outer joins;
22,#REDACTED,#REDACTED,20,1,1,0.5,34.00%,1,1,1,1,1,0.8,29.10%,29.10%,0.9,0.8,0.7,0.7,0.6,0.4,0.6,0.5,1,0.7,0.8,0.3,0.2,0.5,0.3,0.2,0.3,0.2595,0.2595,90.14%,89.05%,study outer joins; practice aggregations
34,#REDACTED,#REDACTED,26,1,1,1,40.00%,0.5,1,0.9,0.9,0.9,0.9,25.80%,25.80%,1,1,1,1,0.6,0.2,0.9,0.3,0.6,0.6,0.6,0.3,0.3,0.2,0.3,0.2,0.3,0.2325,0.2325,94.00%,89.05%,practice selections and joins and aggregations
11,#REDACTED,#REDACTED,10,0.7,1,1,35.20%,1,1,1,1,1,0.7,28.65%,28.65%,1,0.5,0.8,0.8,0.6,0.3,0.9,0.3,0.7,0.6,0.6,0.4,0.4,0.5,0.6,0.2,0.4,0.246,0.246,91.21%,88.45%,"practice outer join syntax, filtering, and selections;"
18,#REDACTED,#REDACTED,27,1,1,1,40.00%,0.8,1,0.3,0,0.5,1,18.15%,18.15%,1,1,0.9,0.9,0.7,0.7,0.9,0.9,1,0.6,0.6,0.5,0.2,0.6,0.2,0.5,0.3,0.315,0.3,83.07%,88.15%,practice selections
2,#REDACTED,#REDACTED,28,1,1,0.5,34.00%,1,1,1,1,0.5,0.5,25.50%,25.50%,0.5,1,1,1,0.8,0.5,0.9,0.4,1,0.6,0.6,0.3,0.2,0.4,0.3,0.2,0.3,0.2565,0.2565,85.00%,85.15%,practice selections
1,#REDACTED,#REDACTED,15,1,1,0.8,37.60%,1.1,1,1,1,1,1.1,30.90%,30.00%,1,0,1,1,1,0,0.6,0.5,0.5,0,0,0.3,0,0,0,0,0,0.1365,0.1365,96.57%,81.25%,practice join syntax - introduce join conditions with the ON keyword;
31,#REDACTED,#REDACTED,1,0.7,1,0.8,32.80%,1,1,1,1,0.8,1,29.10%,29.10%,0.7,1,0.9,0.9,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.6,0.183,0.183,88.43%,80.20%,study and practice joins; study clause names and order and max number of times used - use only one SELECT clause per query; practicing grouping and aggregating and filtering and limiting;
3,#REDACTED,#REDACTED,5,1,1,1,40.00%,0.9,0.9,1,1,0.7,0.7,26.25%,26.25%,1,0.5,0.2,0.2,0.3,0.3,0.2,0.2,0.5,0.2,0.2,0.3,0,0.2,0.2,0,0,0.1305,0.1305,94.64%,79.30%,study clause structure and syntax - use only one SELECT clause; study and practice joins; practice filtering and sorting and aggregating;
30,#REDACTED,#REDACTED,17,0.5,1,0.8,29.60%,0,0.7,1,1,0.7,0.7,21.00%,21.00%,1,0.6,0.4,0.4,0.3,0.4,0.6,0.4,1,1,1,0.4,0.4,0.4,0.3,0.2,0.4,0.258,0.258,72.29%,76.40%,study outer joins; practice joins and selections and aggregations; you can use multiple JOIN clauses...;
16,#REDACTED,#REDACTED,14,1,1,0.5,34.00%,1,1,1,1,0.8,0.5,26.85%,26.85%,1,0.5,0.4,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0,0.3,0.153,0.153,86.93%,76.15%,study join syntax; practice joins and aggregations and selections and filtering and grouping
10,#REDACTED,#REDACTED,9,1,0.5,0.5,28.00%,1,1,1,1,1,0.5,27.75%,27.75%,0.7,0.2,0.9,0.9,0.5,0.3,0.6,0.3,0.6,0.4,0.3,0.3,0.2,0.2,0.4,0.3,0.6,0.195,0.195,79.64%,75.25%,study clause order; practice joining and selections and filtering and grouping and aggregations; include both table names in join condition when referencing table attributes; use only one from clause;
19,#REDACTED,#REDACTED,2,1,1,1,40.00%,0,0.7,1,0.5,0.5,0.8,18.30%,18.30%,0.7,0.5,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0,0.4,0.132,0.132,83.29%,71.50%,study and practice joins; practice filtering and selecting and aggregating
33,#REDACTED,#REDACTED,35,0.8,1,1,36.80%,0.6,0.1,0.5,0.5,0.5,0.7,13.95%,13.95%,1,0.7,0.3,0.3,0.3,0.3,1,0.3,0.5,1,0.6,0.3,0.3,0.3,0.3,0.2,0,0.201,0.201,72.50%,70.85%,practice joining and grouping and aggregating and selecting and limiting; know when to use outer joins
14,#REDACTED,#REDACTED,21,1,1,0,28.00%,0.5,1,0.5,0.5,0.4,0.5,17.55%,17.55%,1,1,0.7,0.7,0.4,0.2,0.6,0.4,1,0.4,0.6,0,0.3,0.5,0.4,0.2,0,0.222,0.222,65.07%,67.75%,study joins; practice selections and filtering and joins and aggregations;
26,#REDACTED,#REDACTED,22,1,1,1,40.00%,0.2,0.2,0.3,0.5,0.1,0.2,7.50%,7.50%,1,0.5,0.3,0.3,0.3,0.4,0.2,0.3,0.4,0.4,0.3,0.2,0.4,0.2,0.2,0.3,0.4,0.1785,0.1785,67.86%,65.35%,study joins; practice selections and filtering and joins and aggregations;
35,#REDACTED,#REDACTED,33,1,1,0,28.00%,0.5,1,1,0.7,0.7,0.7,23.70%,23.70%,0.5,0.5,0.2,0.2,0.2,0.3,0.2,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1095,0.1095,73.86%,62.65%,practice selecting and filtering and joining and limiting and ordering
8,#REDACTED,#REDACTED,30,1,1,0,28.00%,1.1,0.8,1,1,1,0.7,27.90%,27.90%,0.5,0.5,0,0,0.2,0,0.2,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0.06,0.06,79.86%,61.90%,begin your study of SQL and get lots of practice
28,#REDACTED,#REDACTED,12,1,1,0.3,31.60%,0.8,0.5,1,0.5,0.5,0.5,19.35%,19.35%,1,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0,0,0.099,0.099,72.79%,60.85%,begin your study of SQL and get lots of practice;
15,#REDACTED,#REDACTED,24,0.8,1,0,24.80%,0.5,0,0,0,0,0,2.25%,2.25%,1,1,0.2,0.2,0.2,0.2,0.6,0.5,1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0,0.1815,0.1815,38.64%,45.20%,study query structure and composition; learn when to use outer joins; practice selections and aggregations;
25,#REDACTED,#REDACTED,13,0.5,1,0.1,21.20%,0.5,0.5,0.5,0.5,0.5,0.5,15.00%,15.00%,0.5,0.5,0.2,0,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,0,0,0.081,0.081,51.71%,44.30%,begin your study of SQL and get lots of practice;
