,criteria:,0.9 for want of elaboration or specificity,0.9 for want of elaboration or specificity,0.85 for want of elaboration or specificity,0.85 for want of elaboration or specificity,0.9 for addressing issues and describing potential solutions; else 0.8 for addressing privacy or security issues without addressing solutions,"0.9 for hardware/software compatibility questions; else 0.9 for discussion of software and other topics mixed-in; 0.8 for needing to name specific hardware; else 0.8 for saying no new hardware if at least one server would likely be needed; else 0.6 for defining hardware and giving examples of hardware, though not clearly within the system context","0.9 for hardware/software compatibility questions; else 0.6 for defining hardware and giving examples of software, though not clearly within the system context",0.9 for discussion of networks and also discussion intended to be about networks but is about other/general issues; 0.8 for mentioning the word internet and also discussion intended to be about networks but is about other/general issues; else 0.5 for want of specificity,"0.8 for mostly table or query screenshots but also a screenshot of a form OR a report; else 0.6 for table or query screenshots without broader context, a form, or a report","1 for proper entities, relationships, and cardinality notations even if some optionalities remain unaddressed or unjustified; else 0.9 for at least one primary key issue; 0.8 for minor relationship or entity errors; 0.8 for significant primary key or foreign key issues; else 0.8 for acceptable but suboptimal design due to assumption issues; else 0.7 for significant cardinality, entity, and relationship issues; ",0.8 for entity descriptions but not all attribute descriptions; 0.6 for a written description which needs elaboration; 0.2 for illegible or non-relevant or in a file which can't be opened,".75 for want of additional queries, or for errors and/or questionable query constructs",
,weight,2.50%,10.00%,7.50%,7.50%,5.00%,2.50%,2.50%,2.50%,10.00%,40.00%,5.00%,5.00%,100.00%
group_id,group_title,problem,objectives_purpose,inputs_desc,outputs_desc,security_privacy,hardware,software,networks,interface,erd_design,dictionary,sql,weighted_avg
T,consulting,1.00,1.00,0.85,0.85,1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.75,95.50
W,theme-park,1.00,1.00,1.00,1.00,1.00,0.80,1.00,1.00,1.00,0.90,0.90,1.00,95.00
U,rental-car,1.00,1.00,1.00,1.00,1.00,0.80,1.00,1.00,0.60,1.00,1.00,0.75,94.25
Z,aquaculture,0.90,1.00,1.00,0.85,0.80,1.00,1.00,1.00,1.00,1.00,0.20,1.00,93.63
Y,auto-dealership,1.00,1.00,1.00,1.00,0.90,0.90,0.90,0.90,1.00,0.80,1.00,0.75,89.50
S,bar,1.00,1.00,1.00,1.00,1.00,0.80,1.00,0.50,1.00,0.80,0.60,1.00,88.25
R,boxing,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.20,1.00,88.00
V,sports-stats,1.00,1.00,1.00,1.00,0.80,0.90,1.00,0.80,0.80,0.70,1.00,0.75,83.00
X,limo,1.00,0.90,1.00,1.00,0.80,0.60,0.60,1.00,1.00,0.70,0.80,1.00,83.00