methodology:,preliminary_methodology,preliminary_methodology,preliminary_methodology,preliminary_methodology,preliminary_methodology,methodology2,methodology2,methodology2,methodology2,
criteria:,,,,,,"0.7 for facts mixed with SQL at the top without a seperate summary section; else 0.7 for summary at the bottom or sprinkled around and/or presence of factual findings, and/or sparse findings and/or findings needing quantification; else 0.5 for a dataset decsription or other summary",0.8 for minor repeatability concerns; else 0.6 for gap between factual findings and query results; else 0.4 for major repeatability concerns,1 for demonstrations of inner join and outer join; else 0.8 for improper join syntax or conditions; else 0.7 for multiple instances of improper syntax or conditions; else 0.5 for either; else 0.4 for both joins but each with improper syntax; else 0.3 for lacking one type of join and the other having improper syntax,,
student_id,rdba_exec_summ_of_factual_findings,rdba_thoroughness_of_analysis_and_evidence,rdba_joins_inner_outer,methodology1_grade,rdba_feedback,exec_summary,repeatable,inner_and_outer_join,methodology2_grade,higher_of_two_methods
30,0.5,0.5,0.5,75,summarize analytical findings in an exec summary; what real-world information did you learn?; use at least one inner join,1,1,1,1.00,100.00
20,0.5,0.5,1,87,how far is a 'unit' of distance?; 45K trips taken over what time period?; ,1,1,1,1.00,100.00
36,1,0.5,1,87,what day(s) does that metro bus arrive at Wisconsin Ave NW?;,1,1,1,1.00,100.00
29,0,0,0,0,not yet attempted,1,1,1,1.00,100.00
6,0,0,1,66,summarize analytical findings in an exec summary; what real-world information did you learn?,1,1,1,1.00,100.00
9,0.5,1,1,87,summarize analytical findings in an exec summary;,1,1,1,1.00,100.00
7,0.5,0.5,1,87,summarize analytical findings in an exec summary at the beginning; what interesting real-world information did you learn?,0.7,1,1,0.90,90.00
17,0.5,1,1,90,summarize analytical findings in an exec summary;,0.7,1,1,0.90,90.00
13,0.5,0,0.5,66,what real-world information did you learn?; check your join conditions; use at least one inner join,0.7,1,1,0.90,90.00
4,0,0.5,0.5,66,summarize analytical findings in an exec summary; use at least one outer join,0.7,1,1,0.90,90.00
26,0.5,0.5,1,87,summarize analytical findings in an exec summary; what interesting real-world information did you learn? and are you sure about that 5am to 5pm finding?;,0.5,1,1,0.83,87.00
2,0,1,0.5,87,summarize analytical findings in an exec summary; interesting dataset and findings - where do I find it online?; use at least one outer join,0.7,1,0.5,0.73,87.00
35,1,1,0,87,use JOIN clauses; use at least one outer join; use at least one inner join,1,1,0.5,0.83,87.00
15,0,0.4,0.6,75,summarize analytical findings in an exec summary; what real-world information did you learn?,0.5,1,1,0.83,83.33
27,0.5,0.5,0.5,66,"summarize analytical findings in an exec summary; your stop-counting query is not doing what you think it is, and be careful about how you phrase your findings; inventive use of a sub-query; use at least one outer join",1,1,0.5,0.83,83.33
16,0,0,1,66,summarize analytical findings in an exec summary; what interesting real-world information did you learn?,0.5,1,1,0.83,83.33
31,0,0.5,0.5,66,summarize analytical findings in an exec summary; check that each join clause only has one join condition; use at least one outer join;,0.5,1,1,0.83,83.33
14,0,0,0,0,not yet submitted,1,1,0.5,0.83,83.33
23,0.5,0,0,50,summarize analytical findings in an exec summary; what interesting real world information did you learn?; you're close but try choosing different attributes in your join condition; ,1,0.4,1,0.80,80.00
18,1,1,0.5,0.8333333333,check your join conditions;,1,0.8,0.5,0.77,76.67
25,0.5,1,0,75,summarize analytical findings in an exec summary; use JOIN clauses; use at least one inner join and at least one outer join;,0.5,1,0.5,0.67,75.00
12,0,0.5,0.5,75,summarize analytical findings in an exec summary; good instinct to join all the tables together; use at least one inner join,0.5,1,0.5,0.67,75.00
28,0,1,0,75,summarize analytical findings in an exec summary; use JOIN clauses; use at least one inner join and at least one outer join;,0.5,1,0.5,0.67,75.00
11,0,0,1,75,summarize analytical findings in an exec summary; what real-world information did you learn?; what is the value of aliasing a table without changing its name?,0.5,1,0.5,0.67,75.00
8,0,1,0,75,summarize analytical findings in an exec summary; use join clauses; use at least one inner join and at least one outer join;,0.5,1,0.5,0.67,75.00
24,0,0,0.5,66,summarize analytical findings in an exec summary; what real-world information did you learn?; use at least one outer join,0.7,1,0.5,0.73,73.33
34,0,0.5,0.5,66,summarize analytical findings in an exec summary; what interesting real-world information did you learn?; check your join conditions; use at least one outer join;,0.5,1,0.5,0.67,66.67
21,0,0,0.5,66,summarize analytical findings in an exec summary; what real-world information did you learn?; use at least one inner join,0.5,1,0.5,0.67,66.67
19,0,0,0,0,not yet submitted,0,0,0,0.00,0.00
10,0,0,0,0,not yet submitted,0,0,0,0.00,0.00
22,0,0,0,0,not yet submitted,0,0,0,0.00,0.00
1,0,0,0,0,not yet submitted,0,0,0,0.00,0.00
3,0,0,0,0,not yet submitted,0,0,0,0.00,0.00
32,0,0,0,0,not yet attempted,0,0,0,0.00,0.00
5,0,0,0,0,not yet attempted,0,0,0,0.00,0.00
33,0,0,0,0,not yet submitted,0,0,0,0.00,0.00